Label,Info,variable,strain,name,media,condition,techrep,biorep
,,Blank,,,,,,
,,1,HS148,dura3,CM+ura50,glu1,1,1
,,2,,blank,CM+ura50,,,
,,3,HS148,dura3,CM+ura50,glu1,1,2
,,4,HS148,dura3,CM+ura50,glu1,1,3
,,5,,blank,CM+ura50,glu1,,
,,6,,blank,CM+ura50,,,
,,7,HS148,dura3,CM+ura50,glu1,1,4
,,8,,blank,CM+ura50,glu1,,
,,9,HS148,dura3,CM+ura50,glu1,2,1
,,10,HS148,dura3,CM+ura50,glu1,2,2
,,11,,blank,CM+ura50,,,
,,12,,blank,CM+ura50,glu1,,
,,13,HS148,dura3,CM+ura50,,1,1
,,14,HV35,dpyrE2,YPC18%+ura50,,1,2
,,15,BL120,"dura3,rosR",CM+ura50,,1,1
,,16,,blank,CM+ura50,,,
,,17,HV73,"dpyrE2,drosR",YPC18%+ura50,,1,4
,,18,,blank,CM+ura50,glu1,,
,,19,BL120,"dura3,rosR",CM+ura50,,2,1
,,20,HS148,dura3,CM+ura50,glu1,2,3
,,21,,blank,CM+ura50,,,
,,22,HV35,dpyrE2,YPC18%+ura50,,1,4
,,23,HS148,dura3,CM+ura50,,1,3
,,24,,blank,CM+ura50,glu1,,
,,25,HV35,dpyrE2,YPC18%+ura50,,1,1
,,26,HV35,dpyrE2,YPC18%+ura50,,2,4
,,27,BL120,"dura3,rosR",CM+ura50,,1,4
,,28,HV73,"dpyrE2,drosR",YPC18%+ura50,,1,3
,,29,HS148,dura3,CM+ura50,,2,3
,,30,,blank,CM+ura50,,,
,,31,,blank,CM+ura50,glu1,,
,,32,,blank,CM+ura50,,,
,,33,HV73,"dpyrE2,drosR",YPC18%+ura50,,1,2
,,34,BL120,"dura3,rosR",CM+ura50,,1,3
,,35,HS148,dura3,CM+ura50,,3,3
,,36,BL120,"dura3,rosR",CM+ura50,,2,4
,,37,HS148,dura3,CM+ura50,glu1,2,4
,,38,HV73,"dpyrE2,drosR",YPC18%+ura50,,1,1
,,39,BL120,"dura3,rosR",CM+ura50,glu1,1,1
,,40,BL120,"dura3,rosR",CM+ura50,glu1,1,2
,,41,BL120,"dura3,rosR",CM+ura50,glu1,1,3
,,42,HS148,dura3,CM+ura50,glu1,3,1
,,43,HV73,"dpyrE2,drosR",YPC18%+ura50,,2,2
,,44,HV35,dpyrE2,YPC18%+ura50,,2,1
,,45,HS148,dura3,CM+ura50,glu1,3,2
,,46,BL120,"dura3,rosR",CM+ura50,,3,4
,,47,HS148,dura3,CM+ura50,glu1,3,3
,,48,HS148,dura3,CM+ura50,,1,2
,,49,BL120,"dura3,rosR",CM+ura50,,1,2
,,50,BL120,"dura3,rosR",CM+ura50,glu1,1,4
,,51,BL120,"dura3,rosR",CM+ura50,glu1,2,1
,,52,BL120,"dura3,rosR",CM+ura50,,3,1
,,53,HS148,dura3,CM+ura50,,2,2
,,54,HS148,dura3,CM+ura50,glu1,3,4
,,55,HV73,"dpyrE2,drosR",YPC18%+ura50,,2,4
,,56,BL120,"dura3,rosR",CM+ura50,glu1,2,2
,,57,HV73,"dpyrE2,drosR",YPC18%+ura50,,2,3
,,58,HV35,dpyrE2,YPC18%+ura50,,3,1
,,59,HS148,dura3,CM+ura50,,1,4
,,60,,blank,YPC18%+ura50,,,
,,61,,blank,YPC18%+ura50,glu1,,
,,62,HV73,"dpyrE2,drosR",YPC18%+ura50,,2,1
,,63,HS148,dura3,CM+ura50,,2,4
,,64,HV35,dpyrE2,YPC18%+ura50,,2,2
,,65,HS148,dura3,CM+ura50,,2,1
,,66,,blank,YPC18%+ura50,,,
,,67,HV35,dpyrE2,YPC18%+ura50,,1,3
,,68,HV73,"dpyrE2,drosR",YPC18%+ura50,,3,1
,,69,BL120,"dura3,rosR",CM+ura50,,2,2
,,70,,blank,YPC18%+ura50,glu1,,
,,71,BL120,"dura3,rosR",CM+ura50,glu1,2,3
,,72,BL120,"dura3,rosR",CM+ura50,,3,2
,,73,HV35,dpyrE2,YPC18%+ura50,,3,4
,,74,HV73,"dpyrE2,drosR",YPC18%+ura50,,3,3
,,75,HS148,dura3,CM+ura50,,3,2
,,76,HV73,"dpyrE2,drosR",YPC18%+ura50,,3,4
,,77,BL120,"dura3,rosR",CM+ura50,glu1,2,4
,,78,HV73,"dpyrE2,drosR",YPC18%+ura50,,3,2
,,79,,blank,YPC18%+ura50,,,
,,80,,blank,YPC18%+ura50,glu1,,
,,81,BL120,"dura3,rosR",CM+ura50,glu1,3,1
,,82,HV35,dpyrE2,YPC18%+ura50,,2,3
,,83,BL120,"dura3,rosR",CM+ura50,,2,3
,,84,HS148,dura3,CM+ura50,,3,4
,,85,BL120,"dura3,rosR",CM+ura50,,3,3
,,86,,blank,YPC18%+ura50,glu1,,
,,87,HV35,dpyrE2,YPC18%+ura50,,3,3
,,88,HS148,dura3,CM+ura50,,3,1
,,89,HV35,dpyrE2,YPC18%+ura50,,3,2
,,90,BL120,"dura3,rosR",CM+ura50,glu1,3,2
,,91,,blank,YPC18%+ura50,glu1,,
,,92,,blank,YPC18%+ura50,,,
,,93,,blank,YPC18%+ura50,glu1,,
,,94,BL120,"dura3,rosR",CM+ura50,glu1,3,3
,,95,,blank,YPC18%+ura50,,,
,,96,BL120,"dura3,rosR",CM+ura50,glu1,3,4
,,97,,blank,YPC18%+ura50,,,
,,98,,blank,YPC18%+ura50,,,
,,99,,blank,YPC18%+ura50,,,
,,100,,blank,CM+ura50,,,